timestamp,level,service,message,latency_ms,status_code,cpu_usage,memory_usage,request_count,error_rate,db_connections,anomaly_type,is_anomaly
2026-01-01 00:00:00,INFO,auth-service,Database query completed,202.35,200,40.62,54.48,110,0.0127,33,,0
2026-01-01 00:00:30,INFO,auth-service,User login successful,251.06,200,49.67,43.31,90,0.0104,31,,0
2026-01-01 00:01:00,INFO,auth-service,Health check passed,190.89,200,22.87,30.75,68,0.0049,37,,0
2026-01-01 00:01:30,INFO,notification-service,Health check passed,139.14,200,27.88,62.66,75,0.0157,23,,0
2026-01-01 00:02:00,INFO,payment-service,Request processed successfully,155.5,200,43.11,36.49,87,0.009,32,,0
2026-01-01 00:02:30,INFO,api-service,User logout successful,152.92,200,60.52,47.87,58,0.0232,25,,0
2026-01-01 00:03:00,WARNING,database-service,Payment processed successfully,189.4,200,22.4,34.72,83,0.0224,36,,0
2026-01-01 00:03:30,CRITICAL,notification-service,Database connection pool saturated,285.64,200,38.99,33.21,348,0.0104,43,request_burst,1
2026-01-01 00:04:00,WARNING,payment-service,Session validated,194.58,200,38.15,41.23,92,0.0253,42,,0
2026-01-01 00:04:30,INFO,database-service,Request processed successfully,142.24,200,38.91,51.31,99,0.0102,33,,0
2026-01-01 00:05:00,INFO,database-service,User login successful,130.21,500,30.04,56.13,107,0.0143,43,,0
2026-01-01 00:05:30,INFO,payment-service,Payment processed successfully,196.27,200,35.55,51.61,110,0.0146,47,,0
2026-01-01 00:06:00,INFO,database-service,User login successful,62.11,200,50.22,48.87,74,0.0159,19,,0
2026-01-01 00:06:30,INFO,api-service,Request completed,170.11,200,45.57,62.78,69,0.0069,30,,0
2026-01-01 00:07:00,INFO,notification-service,Request processed successfully,221.19,200,45.29,42.7,90,0.016,42,,0
2026-01-01 00:07:30,INFO,auth-service,User login successful,148.41,201,38.72,44.08,50,0.018,37,,0
2026-01-01 00:08:00,INFO,notification-service,Request completed,180.23,400,39.65,33.85,71,0.0116,28,,0
2026-01-01 00:08:30,INFO,payment-service,Health check passed,172.74,200,46.04,66.86,83,0.0176,34,,0
2026-01-01 00:09:00,INFO,notification-service,Payment processed successfully,93.66,200,41.73,48.6,129,0.0131,37,,0
2026-01-01 00:09:30,INFO,api-service,Database connection pool saturated,1104.56,200,30.31,59.43,95,0.0582,27,latency_spike,1
2026-01-01 00:10:00,INFO,api-service,User login successful,206.41,201,63.9,38.09,68,0.016,30,,0
2026-01-01 00:10:30,WARNING,notification-service,Health check passed,110.22,500,42.69,37.38,89,0.0058,47,,0
2026-01-01 00:11:00,INFO,auth-service,Elevated failure rate detected,144.75,404,38.78,56.14,55,0.4413,45,error_burst,1
2026-01-01 00:11:30,CRITICAL,payment-service,Service response degraded,468.18,200,39.94,33.6,103,0.028,143,db_saturation,1
2026-01-01 00:12:00,ERROR,api-service,Service response degraded,514.9,200,54.17,50.26,96,0.0167,131,db_saturation,1
2026-01-01 00:12:30,INFO,notification-service,User logout successful,213.05,200,32.46,40.49,57,0.0227,45,,0
2026-01-01 00:13:00,INFO,notification-service,Request completed,199.1,400,51.41,39.32,82,0.0013,28,,0
2026-01-01 00:13:30,INFO,database-service,Cache refreshed successfully,219.54,400,39.6,60.09,90,0.0423,35,,0
2026-01-01 00:14:00,INFO,api-service,User login successful,116.71,400,41.65,38.37,99,0.0154,33,,0
2026-01-01 00:14:30,INFO,auth-service,User logout successful,174.41,500,49.4,43.48,95,0.0255,32,,0
2026-01-01 00:15:00,WARNING,payment-service,Health check passed,138.33,404,36.87,55.1,81,0.0213,49,,0
2026-01-01 00:15:30,INFO,payment-service,Database query completed,190.39,404,33.91,58.57,81,0.0237,43,,0
2026-01-01 00:16:00,WARNING,payment-service,Request completed,136.84,500,55.82,57.05,67,0.018,37,,0
2026-01-01 00:16:30,INFO,payment-service,Payment processed successfully,181.08,200,50.72,62.37,80,0.0283,42,,0
2026-01-01 00:17:00,INFO,notification-service,User login successful,190.45,200,43.76,36.47,49,0.0167,28,,0
2026-01-01 00:17:30,INFO,auth-service,Payment processed successfully,178.22,200,36.65,30.12,87,0.0109,35,,0
2026-01-01 00:18:00,INFO,api-service,Health check passed,139.81,200,38.65,63.6,82,0.0205,24,,0
2026-01-01 00:18:30,INFO,notification-service,Request completed,287.51,200,60.43,61.63,96,0.0152,38,,0
2026-01-01 00:19:00,INFO,api-service,Payment processed successfully,227.16,200,35.71,43.56,46,0.0073,48,,0
2026-01-01 00:19:30,INFO,payment-service,Database connection pool saturated,483.71,400,38.82,51.18,47,0.0245,106,db_saturation,1
2026-01-01 00:20:00,WARNING,database-service,Request processing degraded,299.72,201,95.61,34.73,116,0.0077,24,cpu_spike,1
2026-01-01 00:20:30,WARNING,api-service,Database query completed,169.32,200,60.72,47.81,61,0.0021,34,,0
2026-01-01 00:21:00,INFO,auth-service,Health check passed,90.23,200,29.0,63.43,106,0.0137,31,,0
2026-01-01 00:21:30,INFO,notification-service,Database query completed,182.63,201,65.48,52.05,98,0.013,35,,0
2026-01-01 00:22:00,INFO,payment-service,Request processed successfully,209.12,200,43.26,29.03,105,0.0088,51,,0
2026-01-01 00:22:30,INFO,auth-service,Request completed,210.91,500,42.71,52.39,77,0.0101,36,,0
2026-01-01 00:23:00,INFO,notification-service,Database query completed,219.82,200,37.35,41.78,72,0.0245,46,,0
2026-01-01 00:23:30,INFO,auth-service,Payment processed successfully,196.29,200,47.81,41.7,97,0.0205,29,,0
2026-01-01 00:24:00,INFO,notification-service,Health check passed,99.55,200,29.79,41.31,103,0.0305,31,,0
2026-01-01 00:24:30,INFO,notification-service,Session validated,161.64,200,44.62,48.12,98,0.0098,42,,0
